assessment_id,entity_id,vuln_id,lir_id,quant_stride
1,1,1,18,"{""Spoofing"":""Shor’s Algorithm allows forging of digital signatures."",""Tampering"":""Integrity checks can be bypassed due to signature forgery."",""Repudiation"":""Valid signatures can be forged, denying the origin of the message.""}"
2,2,1,18,"{""Information Disclosure"":""KEM/ENC algorithms can be broken, revealing encrypted data.""}"
3,3,1,18,"{""Spoofing"":""Shor’s Algorithm allows forging of digital signatures."",""Tampering"":""Integrity checks can be bypassed due to signature forgery."",""Repudiation"":""Valid signatures can be forged, denying the origin of the message.""}"
4,4,1,18,"{""Information Disclosure"":""KEM/ENC algorithms can be broken, revealing encrypted data.""}"
5,5,1,18,"{""Spoofing"":""Shor’s Algorithm allows forging of digital signatures."",""Tampering"":""Integrity checks can be bypassed due to signature forgery."",""Repudiation"":""Valid signatures can be forged, denying the origin of the message.""}"
6,6,1,18,"{""Information Disclosure"":""KEM/ENC algorithms can be broken, revealing encrypted data.""}"
7,7,1,18,"{""Spoofing"":""Shor’s Algorithm allows forging of digital signatures."",""Tampering"":""Integrity checks can be bypassed due to signature forgery."",""Repudiation"":""Valid signatures can be forged, denying the origin of the message.""}"
8,8,1,18,"{""Information Disclosure"":""KEM/ENC algorithms can be broken, revealing encrypted data.""}"
9,9,1,18,"{""Spoofing"":""Shor’s Algorithm allows forging of digital signatures."",""Tampering"":""Integrity checks can be bypassed due to signature forgery."",""Repudiation"":""Valid signatures can be forged, denying the origin of the message.""}"
10,10,1,18,"{""Information Disclosure"":""KEM/ENC algorithms can be broken, revealing encrypted data.""}"
11,11,1,18,"{""Spoofing"":""Shor’s Algorithm allows forging of digital signatures."",""Tampering"":""Integrity checks can be bypassed due to signature forgery."",""Repudiation"":""Valid signatures can be forged, denying the origin of the message.""}"
12,12,1,18,"{""Information Disclosure"":""KEM/ENC algorithms can be broken, revealing encrypted data.""}"
13,13,1,18,"{""Spoofing"":""Shor’s Algorithm allows forging of digital signatures."",""Tampering"":""Integrity checks can be bypassed due to signature forgery."",""Repudiation"":""Valid signatures can be forged, denying the origin of the message.""}"
14,14,1,18,"{""Information Disclosure"":""KEM/ENC algorithms can be broken, revealing encrypted data.""}"
15,15,1,18,"{""Spoofing"":""Shor’s Algorithm allows forging of digital signatures."",""Tampering"":""Integrity checks can be bypassed due to signature forgery."",""Repudiation"":""Valid signatures can be forged, denying the origin of the message.""}"
16,16,1,18,"{""Information Disclosure"":""KEM/ENC algorithms can be broken, revealing encrypted data.""}"
